text,label
먹찌,먹지
왜왱,왜왜
자기얌,자기야
모해써,뭐했어
저기욤,저기요
끄래,그래
대써,됐어
대지,돼지
에바여,에바야
샀냐구,샀냐고
귀욤,귀엽
되어용,되어요
잤넹,잤네
라구,라고
머것냠,먹었냐
신기햄,신기해
서녕,선영
저저저저,저
미녕,민영
햇냠,했냐
햇냐,했냐
토욜,토요일
월욜에,월요일에
대박이얌,대박이야
일욜날,일요일날
금욜은,금요일은
조하조하,좋아좋아
개조아,개좋아
쪼꼬만거,조그만거
맞자나,맞잖아
정하구,정하고
알바하구,알바하고
안하구,안하고
중이넹,중이네
눈물나넹,눈물나네
개빡치넹,개빡치네
몇시얌,몇시야
차얌,차야
해주까,해줄까
수욜날,수요일날
토욜날,토요일날
금욜,금요일
목욜,목요일
월욜은,월요일은
목욜에,목요일에
토욜에,토요일에
수욜,수요일
월욜,월요일
일욜에,일요일에
사달라구,사달라고
목욜이,목요일이
아니라구,아니라고
하더라구요,하더라고요
달라구,달라고
왔어용,왔어요
봐야징,봐야지
마셧어,마셨어
엿구나,였구나
뭐여,뭐야
할까여,할까요
있어여,있어요
사람이여,사람이요
누구여,누구요
할려구,할려고
낼부터,내일부터
낼부턴,내일부턴
쪼금,조금
가지구,가지고
좋구요,좋고요
별루야,별로야
괜찬아,괜찮아
같어,같아
많어,많아
씻구,씻고
저두요,저도요
뭐혀,뭐해
바뻐,바빠
때매,땜에
말구,말고
가꼬,갖고
얼마여,얼마야
안혀,안해
자낭,자나
야쓰야쓰,예스예스
좋구만유,좋고만요
놀러왕,놀러와
해버,해봐
거민,고민
체고야,최고야
하누,하냐
울엄마,우리엄마
울집,우리집
가져가셈,가져가세요 
오셈,오세요 
들어보셈,들어보세요 
해주셈,해주세요 
사오셈,사오세요 
보내셈,보내세요 
입으셈,입으세요 
찍으셈,찍으세요 
보셈,보세요 
노셈,노세요 
주셈,주세요 
하셈,하세요 
데려오셈,데려오세요 
가셈,가세요 
조심하셈,조심하세요 
보내주셈,보내주세요 
찾아보셈,찾아보세요 
전해주셈,전해주세요 
마셈,마세요
해보셈,해보세요 
나오셈,나오세요
사셈,사세요
빡셈,빡세요
공부하셈,공부하세요
드셈,드세요
왓어,왔어
좋아유,좋아요
네에,네
봐두,봐도
지굼,지금
되까,될까
없다구요,없다고요
아퍼,아파
않어,않아
아닌디,아닌데
올께,올게
하까,할까
시러,싫어
죽겄어,죽겠어
허엉,헝
이쁘니,이쁜이
좋은디,좋은데
말어,말아
어뜩해,어떡해
모르겄다,모르겠다
거구,거고
글루,글로
어니냐,아니냐
낫어,났어
너어,너
쬐끔,조금
모냐,뭐냐
자알,잘
조심혀,조심해
없드라,없더라
이케,이렇게
푸욱,푹
빼액,빽
꿧어,꿨어
쫌만,좀만
이러구,이러고
있구,있고
되유,돼요
보구,보고
이것두,이것도
알구,알고
증말,정말
이고,이거
뭐라구,뭐라고
얼릉,얼른
글치,그렇지
아부지가,아버지가
없구,없고
보는디,보는데
히잉,힝
나왓는데,나왔는데
뭐어,뭐
그리구,그리고
놀구,놀고
바루,바로
노라,놀아
고야,거야
사두,사도
어케든,어떻게든
구런가,그런가
아항,아하
돼여,돼요
호홓,호호
힣힣,히히
히힣,히히
야쓰야,예스야
예브다,예쁘다
나왕,나와
크킄,크크
아조씨,아저씨
바바바,봐봐봐
킄킄,큭큭
있는고,있는거
미친고,미친거
우앙,우아
뮤야,뭐야
헤헿,헤헤
헿헿,헤헤
어켘,어케
잇을까,있을까
내럈어,내렸어
오디가,어디가
헸어,했어
오홍,오호
해두,해도
놀쟈,놀자
전해죠,전해줘
잔아,잖아
케이쿠,케이크
모하니,뭐하니
저염,저요
같오,같아
잇던데,있던데
미챴네,미쳤네
바야,봐야
찍오,찍어
구닌,군인
사조,사줘
바께,밖에
교슈님,교수님
호곡,허걱
샀지렁,샀지요
고냥,그냥
