# Coppersmith and Bommer (2014) PNNL Hanford PSHA,,,,,,,,,,,,,,,,,,
#period,v_lin,b,n,c,c_4,t_1,t_2,t_3,t_4,t_5,t_6,t_9,t_12,t_13,t_16,phi,tau,sigma
0.01,865.1,-1.186,1.18,1.88,10,3.8796,-1.1337,0.1,0.9,0,-0.0055500,0.4,0.98,-0.0135,-0.2247,0.6,0.43,0.738
0.02,865.1,-1.186,1.18,1.88,10,3.8796,-1.1337,0.1,0.9,0,-0.0055500,0.4,0.98,-0.0135,-0.2247,0.6,0.43,0.738
0.03,944.57,-1.239,1.18,1.88,10,4.1522,-1.1864,0.1,0.9,0,-0.0055500,0.4,1.081,-0.0135,-0.24475,0.6,0.43,0.738
0.05,1053.5,-1.346,1.18,1.88,10,4.5683,-1.236,0.1,0.9,0,-0.0055500,0.4,1.288,-0.0138,-0.27108,0.6,0.43,0.738
0.1,1032.5,-1.624,1.18,1.88,10,4.9937,-1.215,0.1,0.9,0,-0.0064455,0.4,1.613,-0.0145,-0.27869,0.6,0.43,0.738
0.2,748.2,-2.188,1.18,1.88,10,5.0182,-1.1468,0.1,0.9,0,-0.0066776,0.4,2.076,-0.0162,-0.21139,0.6,0.43,0.738
0.3,587.1,-2.518,1.18,1.88,10,4.7475,-1.091,0.1,0.9,0,-0.0064000,0.4,2.348,-0.0183,-0.13422,0.6,0.43,0.738
0.5,456.6,-2.669,1.18,1.88,10,4.1181,-1.0061,0.1,0.9,0,-0.0060500,0.4,2.399,-0.0231,-0.04057,0.6,0.43,0.738
1,400,-1.955,1.18,1.88,10,2.9005,-0.86825,0.1,0.9,0,-0.0055760,0.4,1.47,-0.0363,-0.01279,0.6,0.43,0.738
2,400,-0.299,1.18,1.88,10,1.5317,-0.72143,0.1,0.9,0,-0.0051020,0.4,-0.401,-0.061,-0.00894,0.6,0.43,0.738
3,400,0,1.18,1.88,10,0.69726,-0.63711,0.1,0.9,0,-0.0048240,0.4,-0.673,-0.0798,-0.00669,0.6,0.43,0.738
5,400,0,1.18,1.88,10,-0.4776,-0.53089,0.1,0.9,0,-0.0044740,0.4,-0.596,-0.098,-0.00385,0.6,0.43,0.738
7.5,400,0,1.18,1.88,10,-1.5093,-0.44657,0.1,0.9,0,-0.0041960,0.4,-0.528,-0.098,-0.0016,0.6,0.43,0.738
10,400,0,1.18,1.88,10,-2.2565,-0.38675,0.1,0.9,0,-0.0040000,0.4,-0.504,-0.098,0,0.6,0.43,0.738
