# Akkar, Sandikkaya, & Bommer (2013)
# Coefficients recieved on 2016-03-17
#period,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,c_1,v_con,v_ref,c,n,b_1,b_2,sd_within,sd_between,sd_total
1.1,1.26728,0.0029,-0.16107,-0.95163,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-1.0124,-0.27669,0.7137,0.3721,0.8049
1.2,1.11475,0.0029,-0.1663,-0.93048,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-1.00489,-0.27538,0.7224,0.3723,0.8127
1.3,0.95965,0.0029,-0.1717,-0.90604,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.98876,-0.25008,0.7226,0.3746,0.8139
1.4,0.85203,0.0029,-0.17699,-0.89379,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.9776,-0.23508,0.7349,0.3697,0.8227
1.5,0.83007,0.0029,-0.18248,-0.90319,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.98071,-0.24695,0.7378,0.3758,0.828
1.6,0.74487,0.0029,-0.18787,-0.89323,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.96369,-0.2287,0.7406,0.3794,0.8321
1.7,0.63568,0.0029,-0.18961,-0.88392,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.94634,-0.21655,0.7418,0.3686,0.8283
1.8,0.56996,0.0029,-0.19551,-0.87459,0.2529,7.5,-0.5096,0,-0.003,6.75,1000,750,2.5,3.2,-0.93606,-0.20302,0.7431,0.3692,0.8298
1.9,0.485,0.0029,-0.19853,-0.86659,0.2529,7.5,-0.5096,0,-0.006,6.75,1000,750,2.5,3.2,-0.91408,-0.18228,0.7457,0.3705,0.8327
2,0.40614,0.0029,-0.20136,-0.86343,0.2529,7.5,-0.5096,0,-0.009,6.75,1000,750,2.5,3.2,-0.91007,-0.17336,0.7446,0.3676,0.8304
2.2,0.28608,0.0029,-0.20791,-0.86086,0.2529,7.5,-0.5096,0,-0.0141,6.75,1000,750,2.5,3.2,-0.89376,-0.15463,0.7391,0.3718,0.8273
2.4,0.15432,0.0029,-0.2148,-0.84778,0.2529,7.5,-0.5096,0,-0.0284,6.75,1000,750,2.5,3.2,-0.87052,-0.13181,0.7311,0.3941,0.8306
2.6,0.0225,0.0029,-0.21843,-0.83937,0.2529,7.5,-0.5096,0,-0.0408,6.75,1000,750,2.5,3.2,-0.85889,-0.14066,0.7281,0.3967,0.8292
2.8,-0.07822,0.0029,-0.22224,-0.83964,0.2529,7.5,-0.5096,0,-0.0534,6.75,1000,750,2.5,3.2,-0.86106,-0.13882,0.7279,0.3987,0.8299
3,-0.22534,0.0029,-0.22564,-0.83314,0.2529,7.5,-0.5096,0,-0.0683,6.75,1000,750,2.5,3.2,-0.85793,-0.13336,0.7154,0.4019,0.8206
3.2,-0.36165,0.0029,-0.22496,-0.81702,0.2529,7.5,-0.5096,0,-0.078,6.75,1000,750,2.5,3.2,-0.82094,-0.1377,0.6984,0.4113,0.8105
3.4,-0.39423,0.0029,-0.23237,-0.82109,0.2529,7.5,-0.5096,0,-0.0943,6.75,1000,750,2.5,3.2,-0.84449,-0.15337,0.6867,0.38,0.7848
3.6,-0.54126,0.0029,-0.24003,-0.79431,0.2529,7.5,-0.5096,0,-0.1278,6.75,1000,750,2.5,3.2,-0.83216,-0.10884,0.6687,0.4009,0.7797
3.8,-0.59607,0.0029,-0.24448,-0.78785,0.2529,7.5,-0.5096,0,-0.1744,6.75,1000,750,2.5,3.2,-0.79216,-0.08884,0.6565,0.3952,0.7663
4,-0.51893,0.0029,-0.25256,-0.80922,0.2529,7.5,-0.5096,0,-0.2231,6.75,1000,750,2.5,3.2,-0.75645,-0.07749,0.6364,0.3318,0.7177
