# Akkar, Sandikkaya, & Bommer (2013)
# Coefficients recieved on 2016-03-17
#period,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,c_1,v_con,v_ref,c,n,b_1,b_2,sd_within,sd_between,sd_total
0,3.26685,0.0029,-0.04846,-1.47905,0.2529,7.5,-0.5096,-0.1091,0.0937,6.75,1000,750,2.5,3.2,-0.41997,-0.28846,0.6475,0.3472,0.7347
-1,6.72743,0.0029,-0.11474,-1.17694,0.2529,7.5,-0.5096,-0.0616,0.063,6.75,1000,750,2.5,3.2,-0.72057,-0.19688,0.628,0.3312,0.71
0.01,3.28656,0.0029,-0.04784,-1.48197,0.2529,7.5,-0.5096,-0.1115,0.0953,6.75,1000,750,2.5,3.2,-0.41729,-0.28685,0.6492,0.3481,0.7366
0.02,3.38936,0.0029,-0.04796,-1.50214,0.2529,7.5,-0.5096,-0.104,0.1029,6.75,1000,750,2.5,3.2,-0.39998,-0.28241,0.6543,0.3508,0.7424
0.03,3.53155,0.0029,-0.04537,-1.52781,0.2529,7.5,-0.5096,-0.0973,0.1148,6.75,1000,750,2.5,3.2,-0.34799,-0.26842,0.6685,0.3526,0.7558
0.04,3.68895,0.0029,-0.03991,-1.55693,0.2529,7.5,-0.5096,-0.0884,0.1073,6.75,1000,750,2.5,3.2,-0.27572,-0.24759,0.6816,0.3513,0.7668
0.05,3.86581,0.0029,-0.0349,-1.58672,0.2529,7.5,-0.5096,-0.0853,0.1052,6.75,1000,750,2.5,3.2,-0.21231,-0.22385,0.6899,0.3659,0.7809
0.075,4.18224,0.0029,-0.02826,-1.62527,0.2529,7.5,-0.5096,-0.0779,0.0837,6.75,1000,750,2.5,3.2,-0.14427,-0.17525,0.6881,0.3942,0.793
0.1,4.4375,0.0029,-0.03256,-1.65601,0.2529,7.5,-0.5096,-0.0749,0.0761,6.75,1000,750,2.5,3.2,-0.27064,-0.29293,0.6936,0.4122,0.8068
0.11,4.48828,0.0029,-0.03407,-1.65903,0.2529,7.5,-0.5096,-0.0704,0.0707,6.75,1000,750,2.5,3.2,-0.31025,-0.31837,0.6965,0.4065,0.8064
0.12,4.51414,0.0029,-0.03635,-1.6547,0.2529,7.5,-0.5096,-0.0604,0.0653,6.75,1000,750,2.5,3.2,-0.34796,-0.3386,0.7022,0.3964,0.8064
0.13,4.5329,0.0029,-0.03929,-1.64994,0.2529,7.5,-0.5096,-0.049,0.0617,6.75,1000,750,2.5,3.2,-0.39668,-0.36646,0.7043,0.3937,0.8069
0.14,4.53834,0.0029,-0.042,-1.64398,0.2529,7.5,-0.5096,-0.0377,0.0581,6.75,1000,750,2.5,3.2,-0.43996,-0.38417,0.7071,0.3853,0.8053
0.15,4.52949,0.0029,-0.04509,-1.63467,0.2529,7.5,-0.5096,-0.0265,0.0545,6.75,1000,750,2.5,3.2,-0.48313,-0.39551,0.7048,0.3779,0.7997
0.16,4.47016,0.0029,-0.04701,-1.61626,0.2529,7.5,-0.5096,-0.0194,0.0509,6.75,1000,750,2.5,3.2,-0.52431,-0.40869,0.7032,0.3851,0.8017
0.17,4.40011,0.0029,-0.04932,-1.59485,0.2529,7.5,-0.5096,-0.0125,0.0507,6.75,1000,750,2.5,3.2,-0.5568,-0.41528,0.7011,0.39,0.8023
0.18,4.33238,0.0029,-0.05181,-1.57545,0.2529,7.5,-0.5096,-0.0056,0.0502,6.75,1000,750,2.5,3.2,-0.58922,-0.42717,0.6992,0.3889,0.8001
0.19,4.26395,0.0029,-0.05442,-1.55685,0.2529,7.5,-0.5096,0,0.0497,6.75,1000,750,2.5,3.2,-0.62635,-0.4413,0.6947,0.3903,0.7968
0.2,4.1775,0.0029,-0.05565,-1.53574,0.2529,7.5,-0.5096,0,0.0493,6.75,1000,750,2.5,3.2,-0.65315,-0.44644,0.6954,0.3848,0.7948
0.22,4.03111,0.0029,-0.05817,-1.50045,0.2529,7.5,-0.5096,0,0.0488,6.75,1000,750,2.5,3.2,-0.68711,-0.44872,0.6925,0.3891,0.7943
0.24,3.90131,0.0029,-0.06152,-1.46889,0.2529,7.5,-0.5096,0,0.0483,6.75,1000,750,2.5,3.2,-0.72744,-0.46341,0.6973,0.3839,0.796
0.26,3.82611,0.0029,-0.06706,-1.44738,0.2529,7.5,-0.5096,0,0.0478,6.75,1000,750,2.5,3.2,-0.77335,-0.48705,0.6973,0.3839,0.796
0.28,3.6978,0.0029,-0.0706,-1.41925,0.2529,7.5,-0.5096,0,0.0474,6.75,1000,750,2.5,3.2,-0.80508,-0.47334,0.6914,0.3865,0.7921
0.3,3.57698,0.0029,-0.0749,-1.38832,0.2529,7.5,-0.5096,0,0.0469,6.75,1000,750,2.5,3.2,-0.82609,-0.4573,0.6934,0.3896,0.7954
0.32,3.40759,0.0029,-0.07756,-1.34898,0.2529,7.5,-0.5096,0,0.0464,6.75,1000,750,2.5,3.2,-0.8408,-0.44267,0.6992,0.3908,0.801
0.34,3.2758,0.0029,-0.08183,-1.31609,0.2529,7.5,-0.5096,0,0.0459,6.75,1000,750,2.5,3.2,-0.86251,-0.43888,0.699,0.3888,0.7999
0.36,3.19725,0.0029,-0.08602,-1.29558,0.2529,7.5,-0.5096,0,0.0459,6.75,1000,750,2.5,3.2,-0.87479,-0.4382,0.7006,0.3916,0.8026
0.38,3.11035,0.0029,-0.08937,-1.27591,0.2529,7.5,-0.5096,0,0.0429,6.75,1000,750,2.5,3.2,-0.88522,-0.43678,0.7036,0.3913,0.8051
0.4,3.03752,0.0029,-0.09243,-1.26045,0.2529,7.5,-0.5096,0,0.04,6.75,1000,750,2.5,3.2,-0.89517,-0.43008,0.7037,0.3894,0.8043
0.42,2.97485,0.0029,-0.09556,-1.24891,0.2529,7.5,-0.5096,0,0.0374,6.75,1000,750,2.5,3.2,-0.90875,-0.4219,0.7023,0.3847,0.8008
0.44,2.90617,0.0029,-0.09822,-1.237,0.2529,7.5,-0.5096,0,0.0349,6.75,1000,750,2.5,3.2,-0.91922,-0.40903,0.6956,0.3908,0.7979
0.46,2.85484,0.0029,-0.10132,-1.22822,0.2529,7.5,-0.5096,0,0.0323,6.75,1000,750,2.5,3.2,-0.9267,-0.39442,0.6893,0.3986,0.7963
0.48,2.8172,0.0029,-0.1056,-1.21874,0.2529,7.5,-0.5096,0,0.0297,6.75,1000,750,2.5,3.2,-0.9372,-0.38462,0.6852,0.4017,0.7943
0.5,2.77997,0.0029,-0.10964,-1.20953,0.2529,7.5,-0.5096,0,0.0271,6.75,1000,750,2.5,3.2,-0.94614,-0.37408,0.6821,0.4017,0.7916
0.55,2.62299,0.0029,-0.11701,-1.1801,0.2529,7.5,-0.5096,0,0.0245,6.75,1000,750,2.5,3.2,-0.96564,-0.35582,0.6866,0.4044,0.7968
0.6,2.42234,0.0029,-0.12106,-1.14424,0.2529,7.5,-0.5096,0,0.0219,6.75,1000,750,2.5,3.2,-0.98499,-0.34053,0.6926,0.4005,0.8001
0.65,2.2277,0.0029,-0.12555,-1.10853,0.2529,7.5,-0.5096,0,0.0193,6.75,1000,750,2.5,3.2,-0.99733,-0.30949,0.6949,0.3981,0.8009
0.7,2.08102,0.0029,-0.13074,-1.08192,0.2529,7.5,-0.5096,0,0.0167,6.75,1000,750,2.5,3.2,-1.00469,-0.28772,0.6993,0.3967,0.804
0.75,1.91625,0.0029,-0.13547,-1.05027,0.2529,7.5,-0.5096,0,0.0141,6.75,1000,750,2.5,3.2,-1.00786,-0.28957,0.7028,0.389,0.8033
0.8,1.81167,0.0029,-0.13856,-1.03514,0.2529,7.5,-0.5096,0,0.0115,6.75,1000,750,2.5,3.2,-1.00606,-0.28555,0.6981,0.3824,0.796
0.85,1.71853,0.0029,-0.14294,-1.0201,0.2529,7.5,-0.5096,0,0.0089,6.75,1000,750,2.5,3.2,-1.01093,-0.28364,0.6959,0.3831,0.7944
0.9,1.60822,0.0029,-0.14669,-1.00315,0.2529,7.5,-0.5096,0,0.0062,6.75,1000,750,2.5,3.2,-1.01576,-0.28037,0.6983,0.3825,0.7962
0.95,1.51532,0.0029,-0.15056,-0.98859,0.2529,7.5,-0.5096,0,0.0016,6.75,1000,750,2.5,3.2,-1.01353,-0.2839,0.7006,0.3797,0.7969
1,1.43982,0.0029,-0.15427,-0.97812,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-1.01331,-0.28702,0.7022,0.3826,0.7997
