# Model coefficients for Tavakoli and Pezeshk (2005).
#period,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16
0,1.14E+00,6.23E-01,-4.83E-02,-1.81E+00,-6.52E-01,4.46E-01,-2.93E-05,-4.05E-03,9.46E-03,1.41E+00,-9.61E-01,4.32E-04,1.33E-04,1.21E+00,-1.11E-01,0.409
0.05,1.82E+00,5.33E-01,-4.75E-02,-1.63E+00,-5.67E-01,4.54E-01,7.77E-03,-4.91E-03,-3.14E-03,9.80E-01,-9.39E-01,5.12E-04,9.30E-04,1.22E+00,-1.08E-01,0.441
0.08,6.83E-01,7.43E-01,-2.93E-02,-1.71E+00,-7.56E-01,4.60E-01,-9.68E-04,-4.94E-03,-5.50E-03,1.13E+00,-9.16E-01,4.82E-04,7.33E-04,1.22E+00,-1.08E-01,0.449
0.1,8.69E-01,6.07E-01,-4.74E-02,-1.52E+00,-7.04E-01,4.49E-01,-6.19E-03,-4.70E-03,-4.24E-03,1.04E+00,-9.13E-01,4.11E-04,3.58E-04,1.23E+00,-1.08E-01,0.456
0.15,2.38E+00,5.01E-01,-6.42E-02,-1.73E+00,-9.76E-01,4.14E-01,6.60E-03,-4.80E-03,3.93E-03,1.51E+00,-8.65E-01,3.64E-04,6.84E-04,1.24E+00,-1.08E-01,0.464
0.2,-5.48E-01,8.57E-01,-2.62E-02,-1.68E+00,-8.61E-01,4.33E-01,2.79E-03,-3.65E-03,-2.02E-03,1.64E+00,-9.25E-01,1.61E-04,6.43E-04,1.24E+00,-1.08E-01,0.469
0.3,-5.13E-01,6.67E-01,-4.43E-02,-1.42E+00,-4.70E-01,4.68E-01,1.08E-02,-5.41E-03,6.44E-03,1.52E+00,-9.15E-01,4.32E-04,2.87E-04,1.26E+00,-1.09E-01,0.479
0.5,2.40E-01,6.11E-01,-7.89E-02,-1.55E+00,-8.44E-01,4.14E-01,7.89E-03,-3.65E-03,-2.65E-04,1.59E+00,-8.59E-01,2.77E-04,1.46E-04,1.28E+00,-1.73E-01,0.505
0.75,-6.79E-01,6.66E-01,-8.30E-02,-1.48E+00,-7.34E-01,4.35E-01,9.53E-03,-3.37E-03,-1.19E-03,1.55E+00,-7.84E-01,2.45E-04,5.47E-04,1.28E+00,-1.05E-01,0.522
1,-1.55E+00,7.64E-01,-8.59E-02,-1.49E+00,-9.41E-01,4.24E-01,-5.84E-03,-2.09E-03,3.30E-03,1.52E+00,-7.57E-01,1.17E-04,7.59E-04,1.28E+00,-1.03E-01,0.537
1.5,-2.30E+00,7.94E-01,-8.84E-02,-1.45E+00,-8.86E-01,4.12E-01,8.30E-03,-3.27E-03,2.51E-03,1.71E+00,-7.69E-01,2.33E-04,1.66E-04,1.27E+00,-9.99E-02,0.551
2,-2.70E+00,8.05E-01,-9.29E-02,-1.44E+00,-9.23E-01,4.08E-01,2.06E-02,-2.14E-03,2.30E-03,1.43E+00,-7.55E-01,2.14E-04,3.91E-04,1.26E+00,-9.78E-02,0.562
3,-2.42E+00,8.01E-01,-1.08E-01,-1.65E+00,-8.98E-01,4.37E-01,1.67E-02,-2.03E-03,3.58E-03,1.93E+00,-8.18E-01,1.16E-04,3.98E-04,1.26E+00,-9.52E-02,0.573
4,-3.69E+00,8.17E-01,-1.18E-01,-1.46E+00,-8.45E-01,4.25E-01,1.13E-02,-1.72E-03,-3.34E-03,1.69E+00,-7.37E-01,1.10E-04,3.59E-04,1.25E+00,-9.26E-02,0.589
