# Atkinson and Boore (2006)
# Stress factor model
#period,delta,m_1,m_h
-1.0000,0.11,2.00,5.50
0.0101,0.15,0.50,5.50
0.0250,0.15,0.00,5.00
0.0315,0.15,0.00,5.00
0.0396,0.15,0.00,5.00
0.0499,0.15,0.00,5.00
0.0629,0.15,0.17,5.17
0.0791,0.15,0.34,5.34
0.0996,0.15,0.50,5.50
0.1255,0.15,1.15,5.67
0.1580,0.15,1.85,5.84
0.1988,0.15,2.50,6.00
0.2506,0.15,2.90,6.12
0.3155,0.15,3.30,6.25
0.3968,0.15,3.65,6.37
0.5000,0.15,4.00,6.50
0.6289,0.15,4.17,6.70
0.7937,0.15,4.34,6.95
1.0000,0.15,4.50,7.20
1.2500,0.15,4.67,7.45
1.5873,0.15,4.84,7.70
2.0000,0.15,5.00,8.00
2.5000,0.15,5.25,8.12
3.1250,0.15,5.50,8.25
4.0000,0.15,5.75,8.37
5.0000,0.15,6.00,8.50
