#Coefficients from the Pezeshk et al. (2011) model
#period,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,sigma_reg
0,1.5828,2.298E-01,-3.847E-02,-3.8325,3.535E-01,3.321E-01,-9.165E-02,-2.5517,1.831E-01,-4.224E-04,6.6521,-2.105E-02,3.778E-01,2.791E-01,0.021
0.01,2.0434,1.987E-01,-3.837E-02,-4.0521,3.688E-01,1.995E-01,-8.918E-02,-2.5948,1.847E-01,-3.965E-04,7.0645,-1.974E-02,3.688E-01,2.792E-01,0.022
0.02,2.305,1.877E-01,-3.697E-02,-4.0443,3.616E-01,-1.222E-01,-9.157E-02,-2.9998,1.941E-01,-1.707E-04,7.3314,-1.974E-02,3.691E-01,2.796E-01,0.023
0.03,1.9848,2.203E-01,-3.616E-02,-3.8032,3.384E-01,7.814E-02,-1.126E-01,-3.3125,2.017E-01,-5.322E-05,7.1183,-2.094E-02,3.817E-01,2.838E-01,0.022
0.04,1.6854,2.404E-01,-3.578E-02,-3.6129,3.247E-01,2.956E-01,-1.180E-01,-3.3320,1.977E-01,-1.113E-04,6.8113,-2.180E-02,3.914E-01,2.874E-01,0.024
0.05,1.4517,2.414E-01,-3.468E-02,-3.4683,3.177E-01,5.224E-01,-1.296E-01,-3.2109,1.956E-01,-2.669E-04,6.3705,-2.244E-02,3.990E-01,2.905E-01,0.025
0.075,1.0698,2.989E-01,-3.897E-02,-3.3770,3.180E-01,7.422E-01,-1.215E-01,-2.6889,1.723E-01,-6.659E-04,6.0817,-2.312E-02,4.108E-01,2.976E-01,0.025
0.1,0.9314,3.088E-01,-3.844E-02,-3.2926,3.063E-01,7.064E-01,-9.521E-02,-2.2090,1.472E-01,-9.254E-04,6.1621,-2.259E-02,4.102E-01,3.007E-01,0.022
0.15,0.3964,4.317E-01,-4.578E-02,-3.2112,2.937E-01,6.084E-01,-6.727E-02,-1.6121,1.072E-01,-1.077E-03,6.2667,-2.185E-02,4.066E-01,3.023E-01,0.016
0.2,-0.4883,6.278E-01,-5.654E-02,-3.0304,2.673E-01,5.422E-01,-5.347E-02,-1.3516,8.784E-02,-1.045E-03,6.1905,-2.046E-02,3.979E-01,3.033E-01,0.014
0.25,-1.0098,7.401E-01,-6.309E-02,-2.9959,2.623E-01,4.421E-01,-3.625E-02,-1.2309,7.733E-02,-9.648E-04,6.0635,-1.933E-02,3.908E-01,3.041E-01,0.015
0.3,-1.6800,8.860E-01,-7.162E-02,-2.8894,2.481E-01,4.869E-01,-4.324E-02,-1.1490,7.056E-02,-9.049E-04,5.9891,-1.837E-02,3.867E-01,3.068E-01,0.015
0.4,-2.3106,1.022E00,-7.965E-02,-2.9265,2.515E-01,4.716E-01,-4.039E-02,-1.0923,6.554E-02,-7.853E-04,6.0263,-1.683E-02,3.774E-01,3.082E-01,0.017
0.5,-3.1365,1.201E00,-9.037E-02,-2.8823,2.456E-01,3.333E-01,-2.105E-02,-1.0022,5.519E-02,-7.069E-04,5.9117,-1.556E-02,3.722E-01,3.119E-01,0.017
0.75,-4.5494,1.508E00,-1.087E-01,-2.8614,2.424E-01,4.023E-01,-3.092E-02,-0.9750,5.536E-02,-5.685E-04,5.9835,-1.339E-02,3.654E-01,3.203E-01,0.021
1,-5.4113,1.690E00,-1.196E-01,-2.8998,2.465E-01,3.766E-01,-2.928E-02,-0.9470,5.249E-02,-4.563E-04,6.1234,-1.180E-02,3.588E-01,3.249E-01,0.022
1.5,-6.4806,1.867E00,-1.282E-01,-2.9338,2.525E-01,2.633E-01,-1.442E-02,-0.9007,4.974E-02,-3.540E-04,5.9875,-1.040E-02,3.569E-01,3.327E-01,0.019
2,-6.9340,1.907E00,-1.287E-01,-3.0128,2.639E-01,3.172E-01,-2.150E-02,-0.8749,4.774E-02,-3.025E-04,6.1355,-9.443E-03,3.561E-01,3.387E-01,0.021
3,-7.4264,1.881E00,-1.205E-01,-2.9742,2.576E-01,2.585E-01,-1.520E-02,-0.8821,5.376E-02,-2.641E-04,6.0598,-8.509E-03,3.540E-01,3.431E-01,0.024
4,-7.8064,1.895E00,-1.183E-01,-3.0050,2.588E-01,3.069E-01,-2.545E-02,-0.8808,5.703E-02,-2.423E-04,6.2536,-7.859E-03,3.527E-01,3.463E-01,0.03
5,-8.2704,1.938E00,-1.180E-01,-2.9501,2.503E-01,3.296E-01,-3.023E-02,-1.0125,7.332E-02,-2.002E-04,6.3423,-6.900E-03,3.577E-01,3.580E-01,0.032
7.5,-8.3376,1.806E00,-1.042E-01,-2.9839,2.542E-01,2.879E-01,-2.252E-02,-1.1817,9.598E-02,-1.624E-04,6.5181,-7.240E-03,3.730E-01,3.710E-01,0.03
10,-9.1046,1.899E00,-1.076E-01,-2.8611,2.395E-01,2.868E-01,-2.290E-02,-1.3786,1.222E-01,-1.268E-04,6.5384,-7.485E-03,3.848E-01,3.810E-01,0.024
