# Akkar, Sandikkaya, & Bommer (2013)
# Coefficients recieved on 2016-03-17
#period,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,c_1,v_con,v_ref,c,n,b_1,b_2,sd_within,sd_between,sd_total
0,1.85329,0.0029,-0.02807,-1.23452,0.2529,7.5,-0.5096,-0.1091,0.0937,6.75,1000,750,2.5,3.2,-0.41997,-0.28846,0.6201,0.3501,0.7121
-1,5.61201,0.0029,-0.0998,-0.98388,0.2529,7.5,-0.5096,-0.0616,0.063,6.75,1000,750,2.5,3.2,-0.72057,-0.19688,0.6014,0.3311,0.6865
0.01,1.87032,0.0029,-0.0274,-1.23698,0.2529,7.5,-0.5096,-0.1115,0.0953,6.75,1000,750,2.5,3.2,-0.41729,-0.28685,0.6215,0.3526,0.7146
0.02,1.95279,0.0029,-0.02715,-1.25363,0.2529,7.5,-0.5096,-0.104,0.1029,6.75,1000,750,2.5,3.2,-0.39998,-0.28241,0.6266,0.3555,0.7204
0.03,2.07006,0.0029,-0.02403,-1.27525,0.2529,7.5,-0.5096,-0.0973,0.1148,6.75,1000,750,2.5,3.2,-0.34799,-0.26842,0.641,0.3565,0.7335
0.04,2.20452,0.0029,-0.01797,-1.30123,0.2529,7.5,-0.5096,-0.0884,0.1073,6.75,1000,750,2.5,3.2,-0.27572,-0.24759,0.6534,0.3484,0.7405
0.05,2.35413,0.0029,-0.01248,-1.32632,0.2529,7.5,-0.5096,-0.0853,0.1052,6.75,1000,750,2.5,3.2,-0.21231,-0.22385,0.6622,0.3551,0.7514
0.075,2.63078,0.0029,-0.00532,-1.35722,0.2529,7.5,-0.5096,-0.0779,0.0837,6.75,1000,750,2.5,3.2,-0.14427,-0.17525,0.6626,0.3759,0.7618
0.1,2.85412,0.0029,-0.00925,-1.38182,0.2529,7.5,-0.5096,-0.0749,0.0761,6.75,1000,750,2.5,3.2,-0.27064,-0.29293,0.667,0.4067,0.7812
0.11,2.89772,0.0029,-0.01062,-1.38345,0.2529,7.5,-0.5096,-0.0704,0.0707,6.75,1000,750,2.5,3.2,-0.31025,-0.31837,0.6712,0.4059,0.7844
0.12,2.92748,0.0029,-0.01291,-1.37997,0.2529,7.5,-0.5096,-0.0604,0.0653,6.75,1000,750,2.5,3.2,-0.34796,-0.3386,0.6768,0.4022,0.7873
0.13,2.95162,0.0029,-0.01592,-1.37627,0.2529,7.5,-0.5096,-0.049,0.0617,6.75,1000,750,2.5,3.2,-0.39668,-0.36646,0.6789,0.4017,0.7888
0.14,2.96299,0.0029,-0.01866,-1.37155,0.2529,7.5,-0.5096,-0.0377,0.0581,6.75,1000,750,2.5,3.2,-0.43996,-0.38417,0.6822,0.3945,0.7881
0.15,2.96622,0.0029,-0.02193,-1.3646,0.2529,7.5,-0.5096,-0.0265,0.0545,6.75,1000,750,2.5,3.2,-0.48313,-0.39551,0.6796,0.3893,0.7832
0.16,2.93166,0.0029,-0.02429,-1.35074,0.2529,7.5,-0.5096,-0.0194,0.0509,6.75,1000,750,2.5,3.2,-0.52431,-0.40869,0.6762,0.3928,0.782
0.17,2.88988,0.0029,-0.02712,-1.33454,0.2529,7.5,-0.5096,-0.0125,0.0507,6.75,1000,750,2.5,3.2,-0.5568,-0.41528,0.6723,0.396,0.7803
0.18,2.84627,0.0029,-0.03003,-1.31959,0.2529,7.5,-0.5096,-0.0056,0.0502,6.75,1000,750,2.5,3.2,-0.58922,-0.42717,0.6694,0.396,0.7778
0.19,2.79778,0.0029,-0.033,-1.3045,0.2529,7.5,-0.5096,0,0.0497,6.75,1000,750,2.5,3.2,-0.62635,-0.4413,0.6647,0.3932,0.7723
0.2,2.73872,0.0029,-0.03462,-1.28877,0.2529,7.5,-0.5096,0,0.0493,6.75,1000,750,2.5,3.2,-0.65315,-0.44644,0.6645,0.3842,0.7676
0.22,2.63479,0.0029,-0.03789,-1.26125,0.2529,7.5,-0.5096,0,0.0488,6.75,1000,750,2.5,3.2,-0.68711,-0.44872,0.66,0.3887,0.766
0.24,2.53886,0.0029,-0.04173,-1.236,0.2529,7.5,-0.5096,0,0.0483,6.75,1000,750,2.5,3.2,-0.72744,-0.46341,0.6651,0.3792,0.7656
0.26,2.48747,0.0029,-0.04768,-1.21882,0.2529,7.5,-0.5096,0,0.0478,6.75,1000,750,2.5,3.2,-0.77335,-0.48705,0.665,0.3754,0.7636
0.28,2.38739,0.0029,-0.05178,-1.19543,0.2529,7.5,-0.5096,0,0.0474,6.75,1000,750,2.5,3.2,-0.80508,-0.47334,0.659,0.3757,0.7586
0.3,2.3015,0.0029,-0.05672,-1.17072,0.2529,7.5,-0.5096,0,0.0469,6.75,1000,750,2.5,3.2,-0.82609,-0.4573,0.6599,0.3816,0.7623
0.32,2.17298,0.0029,-0.06015,-1.13847,0.2529,7.5,-0.5096,0,0.0464,6.75,1000,750,2.5,3.2,-0.8408,-0.44267,0.6654,0.3866,0.7696
0.34,2.07474,0.0029,-0.06508,-1.11131,0.2529,7.5,-0.5096,0,0.0459,6.75,1000,750,2.5,3.2,-0.86251,-0.43888,0.6651,0.3881,0.7701
0.36,2.01953,0.0029,-0.06974,-1.09484,0.2529,7.5,-0.5096,0,0.0459,6.75,1000,750,2.5,3.2,-0.87479,-0.4382,0.6662,0.3924,0.7732
0.38,1.95078,0.0029,-0.07346,-1.07812,0.2529,7.5,-0.5096,0,0.0429,6.75,1000,750,2.5,3.2,-0.88522,-0.43678,0.6698,0.3945,0.7773
0.4,1.89372,0.0029,-0.07684,-1.0653,0.2529,7.5,-0.5096,0,0.04,6.75,1000,750,2.5,3.2,-0.89517,-0.43008,0.6697,0.3962,0.7781
0.42,1.83717,0.0029,-0.0801,-1.05451,0.2529,7.5,-0.5096,0,0.0374,6.75,1000,750,2.5,3.2,-0.90875,-0.4219,0.6696,0.389,0.7744
0.44,1.77528,0.0029,-0.08296,-1.04332,0.2529,7.5,-0.5096,0,0.0349,6.75,1000,750,2.5,3.2,-0.91922,-0.40903,0.6641,0.3929,0.7716
0.46,1.73155,0.0029,-0.08623,-1.03572,0.2529,7.5,-0.5096,0,0.0323,6.75,1000,750,2.5,3.2,-0.9267,-0.39442,0.6575,0.4009,0.7701
0.48,1.70132,0.0029,-0.0907,-1.02724,0.2529,7.5,-0.5096,0,0.0297,6.75,1000,750,2.5,3.2,-0.9372,-0.38462,0.654,0.4022,0.7678
0.5,1.67127,0.0029,-0.0949,-1.01909,0.2529,7.5,-0.5096,0,0.0271,6.75,1000,750,2.5,3.2,-0.94614,-0.37408,0.6512,0.4021,0.7653
0.55,1.53838,0.0029,-0.10275,-0.99351,0.2529,7.5,-0.5096,0,0.0245,6.75,1000,750,2.5,3.2,-0.96564,-0.35582,0.657,0.4057,0.7722
0.6,1.37505,0.0029,-0.10747,-0.96429,0.2529,7.5,-0.5096,0,0.0219,6.75,1000,750,2.5,3.2,-0.98499,-0.34053,0.663,0.406,0.7774
