# Akkar, Sandikkaya, & Bommer (2013)
# Coefficients recieved on 2016-03-17
#period,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,c_1,v_con,v_ref,c,n,b_1,b_2,sd_within,sd_between,sd_total
0.65,1.21156,0.0029,-0.11262,-0.93347,0.2529,7.5,-0.5096,0,0.0193,6.75,1000,750,2.5,3.2,-0.99733,-0.30949,0.6652,0.4124,0.7827
0.7,1.09262,0.0029,-0.11835,-0.91162,0.2529,7.5,-0.5096,0,0.0167,6.75,1000,750,2.5,3.2,-1.00469,-0.28772,0.6696,0.4135,0.787
0.75,0.95211,0.0029,-0.12347,-0.88393,0.2529,7.5,-0.5096,0,0.0141,6.75,1000,750,2.5,3.2,-1.00786,-0.28957,0.6744,0.4043,0.7863
0.8,0.85227,0.0029,-0.12678,-0.86884,0.2529,7.5,-0.5096,0,0.0115,6.75,1000,750,2.5,3.2,-1.00606,-0.28555,0.6716,0.3974,0.7804
0.85,0.76564,0.0029,-0.13133,-0.85442,0.2529,7.5,-0.5096,0,0.0089,6.75,1000,750,2.5,3.2,-1.01093,-0.28364,0.6713,0.3971,0.78
0.9,0.66856,0.0029,-0.13551,-0.83929,0.2529,7.5,-0.5096,0,0.0062,6.75,1000,750,2.5,3.2,-1.01576,-0.28037,0.6738,0.3986,0.7829
0.95,0.58739,0.0029,-0.13957,-0.82668,0.2529,7.5,-0.5096,0,0.0016,6.75,1000,750,2.5,3.2,-1.01353,-0.2839,0.6767,0.3949,0.7835
1,0.52349,0.0029,-0.14345,-0.81838,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-1.01331,-0.28702,0.6787,0.3943,0.7849
1.1,0.3768,0.0029,-0.15051,-0.79691,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-1.0124,-0.27669,0.6912,0.3806,0.7891
1.2,0.23251,0.0029,-0.15527,-0.77813,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-1.00489,-0.27538,0.7015,0.3802,0.7979
1.3,0.10481,0.0029,-0.16106,-0.75888,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.98876,-0.25008,0.7017,0.3803,0.7981
1.4,0.00887,0.0029,-0.16654,-0.74871,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.9776,-0.23508,0.7141,0.3766,0.8073
1.5,-0.01867,0.0029,-0.17187,-0.75751,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.98071,-0.24695,0.7164,0.3799,0.8109
1.6,-0.0996,0.0029,-0.17728,-0.74823,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.96369,-0.2287,0.7198,0.3817,0.8147
1.7,-0.21166,0.0029,-0.17908,-0.73766,0.2529,7.5,-0.5096,0,0,6.75,1000,750,2.5,3.2,-0.94634,-0.21655,0.7226,0.3724,0.8129
1.8,-0.273,0.0029,-0.18438,-0.72996,0.2529,7.5,-0.5096,0,-0.003,6.75,1000,750,2.5,3.2,-0.93606,-0.20302,0.7241,0.371,0.8136
1.9,-0.35366,0.0029,-0.18741,-0.72279,0.2529,7.5,-0.5096,0,-0.006,6.75,1000,750,2.5,3.2,-0.91408,-0.18228,0.7266,0.3745,0.8174
2,-0.42891,0.0029,-0.19029,-0.72033,0.2529,7.5,-0.5096,0,-0.009,6.75,1000,750,2.5,3.2,-0.91007,-0.17336,0.7254,0.3717,0.8151
2.2,-0.55307,0.0029,-0.19683,-0.71662,0.2529,7.5,-0.5096,0,-0.0141,6.75,1000,750,2.5,3.2,-0.89376,-0.15463,0.7207,0.3758,0.8128
2.4,-0.67806,0.0029,-0.20339,-0.70452,0.2529,7.5,-0.5096,0,-0.0284,6.75,1000,750,2.5,3.2,-0.87052,-0.13181,0.7144,0.3973,0.8174
2.6,-0.80494,0.0029,-0.20703,-0.69691,0.2529,7.5,-0.5096,0,-0.0408,6.75,1000,750,2.5,3.2,-0.85889,-0.14066,0.7122,0.4001,0.8169
2.8,-0.91278,0.0029,-0.21074,-0.6956,0.2529,7.5,-0.5096,0,-0.0534,6.75,1000,750,2.5,3.2,-0.86106,-0.13882,0.7129,0.4025,0.8187
3,-1.05642,0.0029,-0.21392,-0.69085,0.2529,7.5,-0.5096,0,-0.0683,6.75,1000,750,2.5,3.2,-0.85793,-0.13336,0.6997,0.4046,0.8083
3.2,-1.17715,0.0029,-0.21361,-0.67711,0.2529,7.5,-0.5096,0,-0.078,6.75,1000,750,2.5,3.2,-0.82094,-0.1377,0.682,0.4194,0.8006
3.4,-1.22091,0.0029,-0.21951,-0.68177,0.2529,7.5,-0.5096,0,-0.0943,6.75,1000,750,2.5,3.2,-0.84449,-0.15337,0.6682,0.3971,0.7773
3.6,-1.34547,0.0029,-0.22724,-0.65918,0.2529,7.5,-0.5096,0,-0.1278,6.75,1000,750,2.5,3.2,-0.83216,-0.10884,0.6508,0.4211,0.7752
3.8,-1.3979,0.0029,-0.2318,-0.65298,0.2529,7.5,-0.5096,0,-0.1744,6.75,1000,750,2.5,3.2,-0.79216,-0.08884,0.6389,0.415,0.7619
4,-1.37536,0.0029,-0.23848,-0.66482,0.2529,7.5,-0.5096,0,-0.2231,6.75,1000,750,2.5,3.2,-0.75645,-0.07749,0.6196,0.3566,0.7149
