# Chiou and Youngs (2014)
# Coefficients updated from NGA-West2 spreadsheet v5.7 (041415)
#period,c_1,c_1a,c_1b,c_1c,c_1d,c_2,c_3,c_4,c_4a,c_5,c_6,c_7,c_7b,c_8,c_8a,c_8b,c_9,c_9a,c_9b,c_11,c_11b,c_hm,c_m,c_n,c_rb,c_gamma1,c_gamma2,c_gamma3,gamma_ji,gamma_c,phi_1,phi_1jp,phi_2,phi_3,phi_4,phi_5,phi_5jp,phi_6,phi_6jp,tau_1,tau_2,sigma_1,sigma_2,sigma_2jp,sigma_3
0.010,-1.5065,0.1650,-0.2550,-0.1650,0.2550,1.06,1.9636,-2.1,-0.5,6.4551,0.4908,0.0352,0.0462,0.0000,0.2695,0.4833,0.9228,0.1202,6.8607,0.0000,-0.4536,3.0956,4.9993,16.0875,50,-0.007146,-0.006758,4.2542,1.5817,0.7594,-0.5210,-0.6846,-0.1417,-0.007010,0.102151,0.0000,0.4590,300,800,0.4000,0.2600,0.4912,0.3762,0.4528,0.8000
0.020,-1.4798,0.1650,-0.2550,-0.1650,0.2550,1.06,1.9636,-2.1,-0.5,6.4551,0.4925,0.0352,0.0472,0.0000,0.2695,1.2144,0.9296,0.1217,6.8697,0.0000,-0.4536,3.0963,4.9993,15.7118,50,-0.007249,-0.006758,4.2386,1.5740,0.7606,-0.5055,-0.6681,-0.1364,-0.007279,0.108360,0.0000,0.4580,300,800,0.4026,0.2637,0.4904,0.3762,0.4551,0.8000
0.030,-1.2972,0.1650,-0.2550,-0.1650,0.2550,1.06,1.9636,-2.1,-0.5,6.4551,0.4992,0.0352,0.0533,0.0000,0.2695,1.6421,0.9396,0.1194,6.9113,0.0000,-0.4536,3.0974,4.9993,15.8819,50,-0.007869,-0.006758,4.2519,1.5544,0.7642,-0.4368,-0.6314,-0.1403,-0.007354,0.119888,0.0000,0.4620,300,800,0.4063,0.2689,0.4988,0.3849,0.4571,0.8000
0.040,-1.1007,0.1650,-0.2550,-0.1650,0.2550,1.06,1.9636,-2.1,-0.5,6.4551,0.5037,0.0352,0.0596,0.0000,0.2695,1.9456,0.9661,0.1166,7.0271,0.0000,-0.4536,3.0988,4.9993,16.4556,50,-0.008316,-0.006758,4.2960,1.5502,0.7676,-0.3752,-0.5855,-0.1591,-0.006977,0.133641,0.0000,0.4530,300,800,0.4095,0.2736,0.5049,0.3910,0.4642,0.8000
0.050,-0.9292,0.1650,-0.2550,-0.1650,0.2550,1.06,1.9636,-2.1,-0.5,6.4551,0.5048,0.0352,0.0639,0.0000,0.2695,2.1810,0.9794,0.1176,7.0959,0.0000,-0.4536,3.1011,4.9993,17.6453,50,-0.008743,-0.006758,4.3578,1.5391,0.7739,-0.3469,-0.5457,-0.1862,-0.006467,0.148927,0.0000,0.4360,300,800,0.4124,0.2777,0.5096,0.3957,0.4716,0.8000
0.075,-0.6580,0.1650,-0.2540,-0.1650,0.2540,1.06,1.9636,-2.1,-0.5,6.4551,0.5048,0.0352,0.0630,0.0000,0.2695,2.6087,1.0260,0.1171,7.3298,0.0000,-0.4536,3.1094,5.0031,20.1772,50,-0.009537,-0.006190,4.5455,1.4804,0.7956,-0.3747,-0.4685,-0.2538,-0.005734,0.190596,0.0000,0.3830,300,800,0.4179,0.2855,0.5179,0.4043,0.5022,0.8000
0.100,-0.5613,0.1650,-0.2530,-0.1650,0.2530,1.06,1.9636,-2.1,-0.5,6.8305,0.5048,0.0352,0.0532,0.0000,0.2695,2.9122,1.0177,0.1146,7.2588,0.0000,-0.4536,3.2381,5.0172,19.9992,50,-0.009830,-0.005332,4.7603,1.4094,0.7932,-0.4440,-0.4985,-0.2943,-0.005604,0.230662,0.0000,0.3750,300,800,0.4219,0.2913,0.5236,0.4104,0.523,0.8000
0.120,-0.5342,0.1650,-0.2520,-0.1650,0.2520,1.06,1.9795,-2.1,-0.5,7.1333,0.5048,0.0352,0.0452,0.0000,0.2695,3.1045,1.0008,0.1128,7.2372,0.0000,-0.4536,3.3407,5.0315,18.7106,50,-0.009913,-0.004732,4.8963,1.3682,0.7768,-0.4895,-0.5603,-0.3077,-0.005696,0.253169,0.0000,0.3770,300,800,0.4244,0.2949,0.5270,0.4143,0.5278,0.8000
0.150,-0.5462,0.1650,-0.2500,-0.1650,0.2500,1.06,2.0362,-2.1,-0.5,7.3621,0.5045,0.0352,0.0345,0.0000,0.2695,3.3399,0.9801,0.1106,7.2109,0.0000,-0.4536,3.4300,5.0547,16.6246,50,-0.009896,-0.003806,5.0644,1.3241,0.7437,-0.5477,-0.6451,-0.3113,-0.005845,0.266468,0.0000,0.3790,300,800,0.4275,0.2993,0.5308,0.4191,0.5304,0.8000
0.170,-0.5858,0.1650,-0.2480,-0.1650,0.2480,1.06,2.0823,-2.1,-0.5,7.4365,0.5036,0.0352,0.0283,0.0000,0.2695,3.4719,0.9652,0.1150,7.2491,0.0000,-0.4536,3.4688,5.0704,15.3709,50,-0.009787,-0.003280,5.1371,1.3071,0.7219,-0.5922,-0.6981,-0.3062,-0.005959,0.265060,0.0000,0.3800,300,800,0.4292,0.3017,0.5328,0.4217,0.531,0.8000
