# Chiou and Youngs (2014)
# Coefficients updated from NGA-West2 spreadsheet v5.7 (041415)
#period,c_1,c_1a,c_1b,c_1c,c_1d,c_2,c_3,c_4,c_4a,c_5,c_6,c_7,c_7b,c_8,c_8a,c_8b,c_9,c_9a,c_9b,c_11,c_11b,c_hm,c_m,c_n,c_rb,c_gamma1,c_gamma2,c_gamma3,gamma_ji,gamma_c,phi_1,phi_1jp,phi_2,phi_3,phi_4,phi_5,phi_5jp,phi_6,phi_6jp,tau_1,tau_2,sigma_1,sigma_2,sigma_2jp,sigma_3
0.200,-0.6798,0.1650,-0.2449,-0.1650,0.2449,1.06,2.1521,-2.1,-0.5,7.4972,0.5016,0.0352,0.0202,0.0000,0.2695,3.6434,0.9459,0.1208,7.2988,0.0000,-0.4440,3.5146,5.0939,13.7012,50,-0.009505,-0.002690,5.1880,1.2931,0.6922,-0.6693,-0.7653,-0.2927,-0.006141,0.255253,0.0000,0.3840,300,800,0.4313,0.3047,0.5351,0.4252,0.5312,0.8000
0.250,-0.8663,0.1650,-0.2382,-0.1650,0.2382,1.06,2.2574,-2.1,-0.5,7.5416,0.4971,0.0352,0.0090,0.0000,0.2695,3.8787,0.9196,0.1208,7.3691,0.0000,-0.3539,3.5746,5.1315,11.2667,50,-0.008918,-0.002128,5.2164,1.3150,0.6579,-0.7766,-0.8469,-0.2662,-0.006439,0.231541,0.0000,0.3930,300,800,0.4341,0.3087,0.5377,0.4299,0.5309,0.7999
0.300,-1.0514,0.1650,-0.2313,-0.1650,0.2313,1.06,2.3440,-2.1,-0.5,7.5600,0.4919,0.0352,-0.0004,0.0000,0.2695,4.0711,0.8829,0.1175,6.8789,0.0000,-0.2688,3.6232,5.1670,9.1908,50,-0.008251,-0.001812,5.1954,1.3514,0.6362,-0.8501,-0.8999,-0.2405,-0.006704,0.207277,0.0010,0.4080,300,800,0.4363,0.3119,0.5395,0.4338,0.5307,0.7997
0.400,-1.3794,0.1650,-0.2146,-0.1650,0.2146,1.06,2.4709,-2.1,-0.5,7.5735,0.4807,0.0352,-0.0155,0.0000,0.2695,4.3745,0.8302,0.1060,6.5334,0.0000,-0.1793,3.6945,5.2317,6.5459,50,-0.007267,-0.001274,5.0899,1.4051,0.6049,-0.9431,-0.9618,-0.1975,-0.007125,0.165464,0.0040,0.4620,300,800,0.4396,0.3165,0.5422,0.4399,0.531,0.7988
0.500,-1.6508,0.1650,-0.1972,-0.1650,0.1972,1.06,2.5567,-2.1,-0.5,7.5778,0.4707,0.0352,-0.0278,0.0991,0.2695,4.6099,0.7884,0.1061,6.5260,0.0000,-0.1428,3.7401,5.2893,5.2305,50,-0.006492,-0.001074,4.7854,1.4402,0.5507,-1.0044,-0.9945,-0.1633,-0.007435,0.133828,0.0100,0.5240,300,800,0.4419,0.3199,0.5433,0.4446,0.5313,0.7966
0.750,-2.1511,0.1650,-0.1620,-0.1650,0.1620,1.06,2.6812,-2.1,-0.5,7.5808,0.4575,0.0352,-0.0477,0.1982,0.2695,5.0376,0.6754,0.1000,6.5000,0.0000,-0.1138,3.7941,5.4109,3.7896,50,-0.005147,-0.001115,4.3304,1.5280,0.3582,-1.0602,-1.0225,-0.1028,-0.008120,0.085153,0.0340,0.6580,300,800,0.4459,0.3255,0.5294,0.4533,0.5309,0.7792
1.000,-2.5365,0.1650,-0.1400,-0.1650,0.1400,1.06,2.7474,-2.1,-0.5,7.5814,0.4522,0.0352,-0.0559,0.2154,0.2695,5.3411,0.6196,0.1000,6.5000,0.0000,-0.1062,3.8144,5.5106,3.3024,50,-0.004277,-0.001197,4.1667,1.6523,0.2003,-1.0941,-1.0002,-0.0699,-0.008444,0.058595,0.0670,0.7800,300,800,0.4484,0.3291,0.5105,0.4594,0.5302,0.7504
1.500,-3.0686,0.1650,-0.1184,-0.1650,0.1184,1.06,2.8161,-2.1,-0.5,7.5817,0.4501,0.0352,-0.0630,0.2154,0.2695,5.7688,0.5101,0.1000,6.5000,0.0000,-0.1020,3.8284,5.6705,2.8498,50,-0.002979,-0.001675,4.0029,1.8872,0.0356,-1.1142,-0.9245,-0.0425,-0.007707,0.031787,0.1430,0.9600,300,800,0.4515,0.3335,0.4783,0.4680,0.5276,0.7136
2.000,-3.4148,0.1645,-0.1100,-0.1645,0.1100,1.06,2.8514,-2.1,-0.5,7.5818,0.4500,0.0352,-0.0665,0.2154,0.2695,6.0723,0.3917,0.1000,6.5000,0.0000,-0.1009,3.8330,5.7981,2.5417,50,-0.002301,-0.002349,3.8949,2.1348,0.0000,-1.1154,-0.8626,-0.0302,-0.004792,0.019716,0.2030,1.1100,300,800,0.4534,0.3363,0.4681,0.4681,0.5167,0.7035
3.000,-3.9013,0.1168,-0.1040,-0.1168,0.1040,1.06,2.8875,-2.1,-0.5,7.5818,0.4500,0.0160,-0.0516,0.2154,0.2695,6.5000,0.1244,0.1000,6.5000,0.0000,-0.1003,3.8361,5.9983,2.1488,50,-0.001344,-0.003306,3.7928,3.5752,0.0000,-1.1081,-0.7882,-0.0129,-0.001828,0.009643,0.2770,1.2910,300,800,0.4558,0.3398,0.4617,0.4617,0.4917,0.7006
4.000,-4.2466,0.0732,-0.1020,-0.0732,0.1020,1.06,2.9058,-2.1,-0.5,7.5818,0.4500,0.0062,-0.0448,0.2154,0.2695,6.8035,0.0086,0.1000,6.5000,0.0000,-0.1001,3.8369,6.1552,1.8957,50,-0.001084,-0.003566,3.7443,3.8646,0.0000,-1.0603,-0.7195,-0.0016,-0.001523,0.005379,0.3090,1.3870,300,800,0.4574,0.3419,0.4571,0.4571,0.4682,0.7001
5.000,-4.5143,0.0484,-0.1010,-0.0484,0.1010,1.06,2.9169,-2.1,-0.5,7.5818,0.4500,0.0029,-0.0424,0.2154,0.2695,7.0389,0.0000,0.1000,6.5000,0.0000,-0.1001,3.8376,6.2856,1.7228,50,-0.001010,-0.003640,3.7090,3.7292,0.0000,-0.9872,-0.6560,0.0000,-0.001440,0.003223,0.3210,1.4330,300,800,0.4584,0.3435,0.4535,0.4535,0.4517,0.7000
7.500,-5.0009,0.0220,-0.1010,-0.0220,0.1010,1.06,2.9320,-2.1,-0.5,7.5818,0.4500,0.0007,-0.0348,0.2154,0.2695,7.4666,0.0000,0.1000,6.5000,0.0000,-0.1000,3.8380,6.5428,1.5737,50,-0.000964,-0.003686,3.6632,2.3763,0.0000,-0.8274,-0.5202,0.0000,-0.001369,0.001134,0.3290,1.4600,300,800,0.4601,0.3459,0.4471,0.4471,0.4167,0.7000
10.000,-5.3461,0.0124,-0.1000,-0.0124,0.1000,1.06,2.9396,-2.1,-0.5,7.5818,0.4500,0.0003,-0.0253,0.2154,0.2695,7.7700,0.0000,0.1000,6.5000,0.0000,-0.1000,3.8380,6.7415,1.5265,50,-0.000950,-0.003700,3.6230,1.7679,0.0000,-0.7053,-0.4068,0.0000,-0.001361,0.000515,0.3300,1.4640,300,800,0.4612,0.3474,0.4426,0.4426,0.3755,0.7000
0.000,-1.5065,0.1650,-0.2550,-0.1650,0.2550,1.06,1.9636,-2.1,-0.5,6.4551,0.4908,0.0352,0.0462,0.0000,0.2695,0.4833,0.9228,0.1202,6.8607,0.0000,-0.4536,3.0956,4.9993,16.0875,50,-0.007146,-0.006758,4.2542,1.5817,0.7594,-0.5210,-0.6846,-0.1417,-0.007010,0.102151,0.0000,0.4590,300,800,0.4000,0.2600,0.4912,0.3762,0.4528,0.8000
-1.000,2.3549,0.1650,-0.0626,-0.1650,0.0626,1.06,2.3152,-2.1,-0.5,5.8096,0.4407,0.0324,0.0097,0.2154,0.2695,5.0000,0.3079,0.1000,6.5000,0.0000,-0.3834,3.0514,5.4230,3.3024,50,-0.001852,-0.007403,4.3439,2.2306,0.3350,-0.7936,-0.7966,-0.0699,-0.008444,5.410000,0.0202,0.9488,300,800,0.3894,0.2578,0.4785,0.3629,0.3918,0.7504
